age,income,pincodeRisk,duplicatePan,nameMatch,occupationRisk,label
65,80097,0,0,1,0,0
32,34476,0,0,1,0,0
49,31831,0,1,1,1,1
33,28645,0,0,1,0,0
24,33409,0,1,1,0,1
36,65068,0,0,1,1,0
41,82707,0,1,1,0,0
20,88808,0,0,1,0,0
59,141537,0,0,0,0,0
53,8106,0,0,1,0,0
33,39813,1,0,1,1,1
18,100211,0,0,1,0,0
30,13342,1,0,1,0,0
29,144772,0,0,1,1,0
53,94714,0,0,1,0,0
69,87648,0,0,1,1,0
21,51495,0,0,1,0,0
23,90448,0,0,1,0,0
50,43784,0,0,1,0,0
27,27615,1,0,1,0,0
58,74578,1,0,1,0,0
59,18334,0,0,1,0,0
57,93984,1,0,1,0,0
31,13598,0,0,1,0,0
19,23945,1,1,1,0,1
21,94414,0,0,1,0,0
47,97363,0,0,1,0,0
20,122352,0,0,1,1,0
66,125677,1,0,1,1,0
51,49614,0,1,1,1,1
68,34513,1,0,1,1,1
24,143242,0,0,1,0,0
58,127829,0,0,1,0,0
22,127977,0,0,0,0,0
20,100421,1,0,1,0,0
25,43580,0,0,1,1,0
50,22526,0,0,0,0,0
22,23705,0,0,1,1,0
18,36179,0,0,1,0,0
70,12361,0,0,1,0,0
48,58400,0,0,1,0,0
67,44036,0,0,1,0,0
64,128301,0,0,1,0,0
69,65255,0,0,1,0,0
44,55181,0,0,1,1,0
20,113451,1,0,1,0,0
53,146934,0,0,1,0,0
31,105178,0,0,1,0,0
47,105832,0,1,1,0,0
49,121746,0,0,1,0,0
58,79651,1,0,1,1,1
35,86939,0,0,1,0,0
67,15055,1,0,1,0,0
34,66196,1,0,1,1,1
58,121281,0,1,1,1,1
52,53412,1,1,1,1,1
46,76895,0,0,1,0,0
44,106349,1,0,1,0,0
35,32468,0,0,1,1,0
23,34336,0,0,1,1,0
22,11615,0,0,1,0,0
41,41274,0,0,1,1,0
32,143207,0,0,1,0,0
44,105646,1,1,1,1,1
50,20832,0,0,1,0,0
35,124919,0,0,1,1,0
69,109822,0,0,1,1,0
37,92568,0,0,1,0,0
34,62967,0,0,1,0,0
62,149590,0,0,1,0,0
70,144991,0,0,1,0,0
27,46849,1,0,1,1,1
46,63414,0,0,1,0,0
32,62193,0,0,1,0,0
66,70993,0,0,1,0,0
48,22071,1,0,1,0,0
61,9081,0,0,1,0,0
25,74253,1,0,1,1,1
34,129707,0,0,1,1,0
49,37605,0,0,1,0,0
46,90853,0,0,1,0,0
31,127811,0,0,1,1,0
31,84173,0,0,1,0,0
68,83402,0,0,1,1,0
53,101869,0,0,1,0,0
23,33154,0,0,1,0,0
68,86997,1,0,1,0,0
53,27174,0,0,1,1,0
22,12883,1,0,1,0,0
47,20173,0,0,1,0,0
20,41524,1,1,1,0,1
57,18233,1,0,1,1,1
45,74488,0,0,1,1,0
56,23063,0,0,1,0,0
70,73573,1,0,1,0,0
67,35967,0,0,1,0,0
29,138749,0,0,1,0,0
44,39781,0,0,1,0,0
62,28988,0,1,1,0,1
41,116056,0,0,1,0,0
19,47885,0,0,1,0,0
58,19058,1,0,1,0,0
64,43319,0,0,1,0,0
30,36063,1,0,1,0,0
54,101837,1,0,1,0,0
20,128683,0,0,1,0,0
61,110991,1,0,1,1,0
70,69207,0,0,1,0,0
59,109324,0,0,1,0,0
37,94320,1,0,1,0,0
62,132938,0,0,1,1,0
20,109554,1,0,1,0,0
42,19509,0,0,1,0,0
21,36544,0,0,1,1,0
64,138479,1,1,1,0,1
65,22685,1,0,1,0,0
64,145265,0,0,1,0,0
22,89625,1,0,1,0,0
19,25135,1,0,1,1,1
70,107329,0,0,1,1,0
42,114439,0,0,0,0,0
48,104620,0,0,0,0,0
49,29629,0,0,1,0,0
63,110254,1,0,1,0,0
60,64839,1,0,1,0,0
34,35076,0,0,1,0,0
20,108706,0,0,1,0,0
58,21096,0,0,1,0,0
59,82378,0,0,1,0,0
39,126789,0,0,1,0,0
32,85374,1,0,1,1,0
36,70668,0,0,1,1,0
39,70556,1,0,1,0,0
61,149933,0,1,1,0,0
26,123576,0,0,1,1,0
59,59157,1,0,1,0,0
66,106506,0,0,1,0,0
64,12599,0,0,1,0,0
22,38556,0,0,1,0,0
27,80712,1,0,1,0,0
46,67211,1,0,1,0,0
49,138357,0,0,1,0,0
54,136595,1,1,1,0,1
42,110315,0,0,1,1,0
58,143325,0,0,1,0,0
19,75737,0,0,1,0,0
21,136544,1,0,1,0,0
23,136894,1,0,1,0,0
42,66847,0,0,1,0,0
41,128104,0,0,1,0,0
36,77000,1,0,0,0,1
22,72528,1,0,1,0,0
36,48405,0,0,1,1,0
24,141864,0,0,1,1,0
61,111546,0,0,1,0,0
21,146492,0,0,1,1,0
33,62901,1,0,1,0,0
36,123741,1,0,1,0,0
60,47571,1,0,1,0,0
68,149540,1,0,1,0,0
26,132846,0,0,1,0,0
37,82313,0,0,1,0,0
52,21860,1,0,1,0,0
30,70815,1,0,1,0,0
